h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412cb5ffffffff,24000,1.0979301278101916,0.6933305479066474,1.1346305479066474,0.5510546633618282,0.9923546633618282,0.0667,1.0632247305237046,0.1885395862252214,1.1744320694436894,1x Siemens SGT-A45,4.05,48.4350583563519,-113.88327214648874
8412cb5ffffffff,50000,1.0979301278101916,0.6933305479066474,1.1346305479066474,0.5510546633618282,0.9923546633618282,0.0667,1.063224730523705,0.1693174506008565,1.1552099338193242,2x Siemens SGT-800,4.05,48.4350583563519,-113.88327214648874
8412cb5ffffffff,750000,1.0979301278101916,0.6933305479066474,1.1346305479066474,0.5510546633618282,0.9923546633618282,0.0667,1.063224730523705,0.1304401967056809,1.1308561159668864,3x GE 7HA.02,4.05,48.4350583563519,-113.88327214648874
8412cb7ffffffff,24000,1.0979502753345185,1.1963663154826618,1.6376663154826618,0.8599206584238943,1.3012206584238943,0.0667,1.0632064565339256,0.1885378505270477,1.1744122424956334,1x Siemens SGT-A45,4.05,48.14811690196945,-113.44749290266672
8412cb7ffffffff,50000,1.0979502753345185,1.1963663154826618,1.6376663154826618,0.8599206584238943,1.3012206584238943,0.0667,1.0632064565339254,0.1693161870282215,1.1551905789968075,2x Siemens SGT-800,4.05,48.14811690196945,-113.44749290266672
8412cb7ffffffff,750000,1.0979502753345185,1.1963663154826618,1.6376663154826618,0.8599206584238943,1.3012206584238943,0.0667,1.0632064565339252,0.1304392730066751,1.1308368345111384,3x GE 7HA.02,4.05,48.14811690196945,-113.44749290266672
8412cb9ffffffff,24000,1.0979327900123454,,,0.3392772402611027,0.7848339492219691,0.0725,1.0690809017020084,0.1885393561683028,1.1744294488532914,1x Siemens SGT-A45,4.0,48.89822593894395,-113.1957036163432
8412cb9ffffffff,50000,1.0979327900123454,,,0.3392772402611027,0.7848339492219691,0.0725,1.0690809017020089,0.1693172827633395,1.155207375448328,2x Siemens SGT-A45,4.0,48.89822593894395,-113.1957036163432
8412cb9ffffffff,750000,1.0979327900123454,,,0.3392772402611027,0.7848339492219693,0.0725,1.069080901702009,0.1304400746200107,1.1308535681321734,2x GE 9HA.01,4.05,48.89822593894395,-113.1957036163432
8412cbbffffffff,24000,1.0979543523567998,0.4363340760622975,0.8776340760622976,0.3576826496941007,0.7989826496941008,0.0667,1.0632027587188235,0.1885374981408579,1.174408229272493,1x Siemens SGT-A45,4.05,48.607278352197774,-112.75765225296932
8412cbbffffffff,50000,1.0979543523567998,0.4363340760622975,0.8776340760622976,0.3576826496941007,0.7989826496941008,0.0667,1.0632027587188235,0.1693159320780525,1.155186663209688,2x Siemens SGT-800,4.05,48.607278352197774,-112.75765225296932
8412cbbffffffff,750000,1.0979543523567998,0.4363340760622975,0.8776340760622976,0.3576826496941007,0.7989826496941008,0.0667,1.0632027587188235,0.1304390860790386,1.1308329328178195,3x GE 7HA.02,4.05,48.607278352197774,-112.75765225296932
8412cbdffffffff,24000,1.097918428127432,0.5969146897982794,1.0382146897982794,0.482624008951417,0.9239240089514172,0.0725,1.0690939284099217,0.1885405943380574,1.1744435834638796,1x Siemens SGT-A45,4.0,48.81040162656103,-113.76223813104804
8412cbdffffffff,50000,1.097918428127432,0.5969146897982794,1.0382146897982794,0.482624008951417,0.9239240089514172,0.0725,1.0690939284099217,0.169318183978567,1.1552211731043895,2x Siemens SGT-A45,4.0,48.81040162656103,-113.76223813104804
8412cbdffffffff,750000,1.097918428127432,0.5969146897982794,1.0382146897982794,0.482624008951417,0.9239240089514172,0.0725,1.0690939284099217,0.1304407331043011,1.130867313038088,2x GE 9HA.01,4.05,48.81040162656103,-113.76223813104804
8412d81ffffffff,24000,1.0979241734247485,1.0173994820984422,1.4586994820984422,0.8122433255910123,1.2535433255910124,0.0725,1.0690887171930217,0.2223963046192497,1.208294134640341,1x Siemens SGT-A45,4.0,48.8802535965994,-117.42335711850694
8412d81ffffffff,50000,1.0979241734247485,1.0173994820984422,1.4586994820984422,0.8122433255910123,1.2535433255910124,0.0725,1.0690887171930212,0.2030804219735026,1.188978251994594,2x Siemens SGT-A45,4.0,48.8802535965994,-117.42335711850694
8412d81ffffffff,750000,1.0979241734247485,1.0173994820984422,1.4586994820984422,0.8122433255910123,1.2535433255910124,0.0725,1.0690887171930217,0.1542774095506849,1.1546987543796403,2x GE 9HA.01,4.05,48.8802535965994,-117.42335711850694
8412d83ffffffff,24000,1.0982202031583077,0.7278034446168358,1.1691034446168358,0.5938928951377611,1.0351928951377611,0.0587,1.0548808861022076,0.2223698867035114,1.208001963944697,1x Siemens SGT-A45,4.05,48.61863723038245,-117.022919618367
8412d83ffffffff,50000,1.0982202031583077,0.7278034446168358,1.1691034446168358,0.5938928951377611,1.0351928951377611,0.0587,1.054880886102208,0.2030609245515514,1.1886930017927368,2x Siemens SGT-800,4.05,48.61863723038245,-117.022919618367
8412d83ffffffff,750000,1.0982202031583077,0.7278034446168358,1.1691034446168358,0.5938928951377611,1.0351928951377611,0.0587,1.054880886102208,0.1552393520323626,1.1553910292087788,3x GE 7HA.02,4.05,48.61863723038245,-117.022919618367
8412d85ffffffff,24000,1.098714893802098,0.7770462035429012,1.2183462035429011,0.6357569790948344,1.0770569790948343,0.0587,1.0544326278233025,0.2223257687004599,1.207514070245529,1x Siemens SGT-A45,4.0,48.78238334672553,-118.0167462706792
