h3_index,latitude,longitude,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,gas_price,state,facility_load_mw,gpu_count
8412c93ffffffff,48.77000828904844,-111.6132304376774,1.0983882213464475,,,0.3268166780713425,0.7681166780713425,0.0667,1.062809401140004,0.153215364374672,0.8545228335843104,2× GE 6F.03 CC,3.0,7.14,Montana,122.53893594396304,100000
8412c95ffffffff,48.98368621261201,-112.6243422580039,1.0979470283429098,0.4664213585734077,0.9077213585734076,0.3785586613696229,0.8198586613696229,0.0667,1.0632094015398306,0.1532541194918079,0.8548433982430331,2× GE 6F.03 CC,3.0,7.14,Montana,122.48971534950589,100000
8412c97ffffffff,48.68986128979077,-112.18776453383892,1.0981440021053448,,,0.3587334205856191,0.8000334205856191,0.0667,1.0630307787934865,0.1532368133952456,0.854700248286599,2× GE 6F.03 CC,3.0,7.14,Montana,122.51169023487752,100000
8412ca3ffffffff,48.72027816985041,-114.32389734102182,1.0979247508859336,,,0.5178963915732816,0.9591963915732816,0.0667,1.0632296075568146,0.1532560772264558,0.8548595915844106,2× GE 6F.03 CC,3.0,7.14,Montana,122.48723002071196,100000
8412ca5ffffffff,48.90848568990036,-115.32716494751485,1.0979854151137307,,,0.6810500555649106,1.1223500555649106,0.0667,1.0631745860360091,0.1532507463196666,0.8548154967424791,2× GE 6F.03 CC,3.0,7.14,Montana,122.4939978736256,100000
8412ca7ffffffff,48.62792044287574,-114.8806373627701,1.098084138710507,,,0.5149736873897501,0.9562736873897502,0.0667,1.0630850582503075,0.1532420725526116,0.8547437485778518,2× GE 6F.03 CC,3.0,7.14,Montana,122.50501172489092,100000
8412cb1ffffffff,48.52232287159422,-113.32283834993422,1.0979233388817131,0.4377427314256084,0.8790427314256084,0.357429008842854,0.798729008842854,0.0667,1.0632308882953163,0.1532562014386062,0.8548606181064842,2× GE 6F.03 CC,3.0,7.14,Montana,122.48707249399112,100000
8412cb3ffffffff,48.2325465009541,-112.88835662119864,1.0979493859228673,0.47212538435256,0.91342538435256,0.3824416442701733,0.8237416442701734,0.0667,1.0632072632243197,0.1532539126323236,0.8548416848907693,2× GE 6F.03 CC,3.0,7.14,Montana,122.48997836701987,100000
8412cb5ffffffff,48.4350583563519,-113.88327214648874,1.0979301278101916,0.6933305479066474,1.1346305479066474,0.5510546633618282,0.9923546633618282,0.0667,1.0632247305237046,0.1532556050631712,0.8548556834383976,2× GE 6F.03 CC,3.0,7.14,Montana,122.4878298838245,100000
8412cb7ffffffff,48.14811690196945,-113.44749290266672,1.0979502753345185,1.1963663154826618,1.6376663154826618,0.8599206584238943,1.3012206584238943,0.0667,1.0632064565339256,0.1532538344539208,0.8548410383803092,2× GE 6F.03 CC,3.0,7.14,Montana,122.4900775920072,100000
8412cb9ffffffff,48.89822593894395,-113.1957036163432,1.0979327900123454,,,0.3392772402611027,0.7848339492219691,0.0667,1.0632809017020084,0.1532553710579041,0.8548537482349727,2× GE 6F.03 CC,3.0,7.14,Montana,122.4881268857523,100000
8412cbbffffffff,48.607278352197774,-112.75765225296932,1.0979543523567998,0.4363340760622975,0.8776340760622976,0.3576826496941007,0.7989826496941008,0.0667,1.0632027587188235,0.1532534760003146,0.8548380747303608,2× GE 6F.03 CC,3.0,7.14,Montana,122.49053243480547,100000
8412cbdffffffff,48.81040162656103,-113.76223813104804,1.097918428127432,0.5969146897982794,1.0382146897982794,0.482624008951417,0.9239240089514172,0.0667,1.0632939284099217,0.1532566331335248,0.8548641879278829,2× GE 6F.03 CC,3.0,7.14,Montana,122.48652463796664,100000
8412d81ffffffff,48.8802535965994,-117.42335711850694,1.0979241734247485,1.0173994820984422,1.4586994820984422,0.8122433255910123,1.2535433255910124,0.0587,1.0552887171930216,0.1797618685204413,0.8813657518918552,2× GE 6F.03 CC,3.0,10.32,Washington,122.4871655976985,100000
8412d83ffffffff,48.61863723038245,-117.022919618367,1.0982202031583077,0.7278034446168358,1.1691034446168358,0.5938928951377611,1.0351928951377611,0.0587,1.0548808861022076,0.1797350831674505,0.8811498463514361,2× GE 6F.03 CC,3.0,10.32,Washington,122.52019141484872,100000
8412d85ffffffff,48.78238334672553,-118.0167462706792,1.098714893802098,0.7770462035429012,1.2183462035429011,0.6357569790948344,1.0770569790948343,0.0587,1.0544326278233025,0.1796903526639946,0.8807893075134242,2× GE 6F.03 CC,3.0,10.32,Washington,122.57538033979654,100000
8412d87ffffffff,48.522649189765886,-117.61579537910067,1.0979440428324625,,,0.797269218904754,1.243220074941635,0.0587,1.0551313013181332,0.1797600699659362,0.8813512564665911,2× GE 6F.03 CC,3.0,10.32,Washington,122.4893822784966,100000
8412d8bffffffff,48.98459205902086,-116.8803211708337,1.0979229380878226,,,1.021245150343386,1.462545150343386,0.0615,1.0580898376889445,0.1440042317691154,0.8456089045558463,2× GE 6F.03 CC,3.0,6.03,Idaho,122.48702778042272,100000
8412d91ffffffff,48.445311976615336,-116.02963793834527,1.0979414770593916,0.7308282625967211,1.172128262596721,0.5766428604482258,1.0179428604482257,0.0615,1.057961911315333,0.1440026198490827,0.8455954458941127,2× GE 6F.03 CC,3.0,6.03,Idaho,122.48909603443838,100000
8412d93ffffffff,48.17619419814967,-115.63389610278712,1.0979336799140156,0.60105241509122,1.04235241509122,0.4924423693406791,0.9337423693406792,0.0667,1.063221508684184,0.153255292833574,0.8548531013482734,2× GE 6F.03 CC,3.0,7.14,Montana,122.48822616540735,100000
8412d95ffffffff,48.35419794256735,-116.6244554564418,1.098440185967119,0.7901661172580261,1.231466117258026,0.6499998630077481,1.0912998630077482,0.0615,1.057509784168393,0.1439592707462736,0.8452335627496543,2× GE 6F.03 CC,3.0,6.03,Idaho,122.54473324695668,100000
8412d97ffffffff,48.08695113516558,-116.22798833846014,1.0984833063397776,0.6966277287713646,1.1379277287713645,0.5702916013924022,1.0115916013924022,0.0615,1.0574707107242003,0.1439555244864462,0.8452022883438525,2× GE 6F.03 CC,3.0,6.03,Idaho,122.54954386353144,100000
